trip_id,service_id,route_id,trip_headsign,direction_id,shape_id
4503603923740923,4503603923740912,11821949023742784,Montjoie RAMONVILLE-SAINT-AGNE,1,4503599631529079
4503603923740924,4503603923740912,11821949023742784,Montjoie RAMONVILLE-SAINT-AGNE,1,4503599631529079
4503603923740925,4503603923740912,11821949023742784,Montjoie RAMONVILLE-SAINT-AGNE,1,4503599631529079
4503603923740926,4503603923740912,11821949023742784,Montjoie RAMONVILLE-SAINT-AGNE,1,4503599631529079
4503603923740927,4503603923740912,11821949023742784,Montjoie RAMONVILLE-SAINT-AGNE,1,4503599631529079
4503603923740928,4503603923740912,11821949023742784,Montjoie RAMONVILLE-SAINT-AGNE,1,4503599631529079
4503603923740929,4503603923740912,11821949023742784,Montjoie RAMONVILLE-SAINT-AGNE,1,4503599631529079
4503603923740930,4503603923740912,11821949023742784,Montjoie RAMONVILLE-SAINT-AGNE,1,4503599631529079
4503603923740931,4503603923740912,11821949023742784,Montjoie RAMONVILLE-SAINT-AGNE,1,4503599631529079
4503603923740932,4503603923740912,11821949023742784,Montjoie RAMONVILLE-SAINT-AGNE,1,4503599631529079
4503603923740933,4503603923740912,11821949023742784,Montjoie RAMONVILLE-SAINT-AGNE,1,4503599631529079
4503603923740934,4503603923740912,11821949023742784,Montjoie RAMONVILLE-SAINT-AGNE,1,4503599631529079
4503603923740935,4503603923740912,11821949023742784,Montjoie RAMONVILLE-SAINT-AGNE,1,4503599631529079
4503603923740936,4503603923740912,11821949023742784,Montjoie RAMONVILLE-SAINT-AGNE,1,4503599631529079
4503603923740937,4503603923740912,11821949023742784,Montjoie RAMONVILLE-SAINT-AGNE,1,4503599631529079
4503603923740938,4503603923740912,11821949023742784,Montjoie RAMONVILLE-SAINT-AGNE,1,4503599631529079
4503603923740939,4503603923740912,11821949023742784,Montjoie RAMONVILLE-SAINT-AGNE,1,4503599631529079
4503603923740940,4503603923740912,11821949023742784,Montjoie RAMONVILLE-SAINT-AGNE,1,4503599631529079
4503603923740941,4503603923740912,11821949023742784,Montjoie RAMONVILLE-SAINT-AGNE,1,4503599631529079
4503603923740942,4503603923740912,11821949023742784,Montjoie RAMONVILLE-SAINT-AGNE,1,4503599631529079
4503603923740943,4503603923740912,11821949023742784,Montjoie RAMONVILLE-SAINT-AGNE,1,4503599631529079
4503603923740944,4503603923740912,11821949023742784,Montjoie RAMONVILLE-SAINT-AGNE,1,4503599631529079
4503603923740945,4503603923740912,11821949023742784,Montjoie RAMONVILLE-SAINT-AGNE,1,4503599631529079
4503603923740946,4503603923740912,11821949023742784,Montjoie RAMONVILLE-SAINT-AGNE,1,4503599631529079
4503603923740947,4503603923740912,11821949023742784,Montjoie RAMONVILLE-SAINT-AGNE,1,4503599631529079
4503603923740948,4503603923740912,11821949023742784,Montjoie RAMONVILLE-SAINT-AGNE,1,4503599631529079
4503603923740949,4503603923740912,11821949023742784,Montjoie RAMONVILLE-SAINT-AGNE,1,4503599631529079
4503603923740950,4503603923740912,11821949023742784,Ramonville Métro RAMONVILLE-SAINT-AGNE,0,4503599631529106
4503603923740951,4503603923740912,11821949023742784,Ramonville Métro RAMONVILLE-SAINT-AGNE,0,4503599631529106
4503603923740952,4503603923740912,11821949023742784,Ramonville Métro RAMONVILLE-SAINT-AGNE,0,4503599631529106
4503603923740953,4503603923740912,11821949023742784,Ramonville Métro RAMONVILLE-SAINT-AGNE,0,4503599631529106
4503603923740954,4503603923740912,11821949023742784,Ramonville Métro RAMONVILLE-SAINT-AGNE,0,4503599631529106
4503603923740955,4503603923740912,11821949023742784,Ramonville Métro RAMONVILLE-SAINT-AGNE,0,4503599631529106
4503603923740956,4503603923740912,11821949023742784,Ramonville Métro RAMONVILLE-SAINT-AGNE,0,4503599631529106
4503603923740957,4503603923740912,11821949023742784,Ramonville Métro RAMONVILLE-SAINT-AGNE,0,4503599631529106
4503603923740958,4503603923740912,11821949023742784,Ramonville Métro RAMONVILLE-SAINT-AGNE,0,4503599631529106
4503603923740959,4503603923740912,11821949023742784,Ramonville Métro RAMONVILLE-SAINT-AGNE,0,4503599631529106
4503603923740960,4503603923740912,11821949023742784,Ramonville Métro RAMONVILLE-SAINT-AGNE,0,4503599631529106
4503603923740961,4503603923740912,11821949023742784,Ramonville Métro RAMONVILLE-SAINT-AGNE,0,4503599631529106
4503603923740962,4503603923740912,11821949023742784,Ramonville Métro RAMONVILLE-SAINT-AGNE,0,4503599631529106
4503603923740963,4503603923740912,11821949023742784,Ramonville Métro RAMONVILLE-SAINT-AGNE,0,4503599631529106
4503603923740964,4503603923740912,11821949023742784,Ramonville Métro RAMONVILLE-SAINT-AGNE,0,4503599631529106
4503603923740965,4503603923740912,11821949023742784,Ramonville Métro RAMONVILLE-SAINT-AGNE,0,4503599631529106
4503603923740966,4503603923740912,11821949023742784,Ramonville Métro RAMONVILLE-SAINT-AGNE,0,4503599631529106
